"","text","Emotion(H, S, A, N)","","","","",""
"","The fact that police and firemen and ambulances are paid with tax dollars and you might say because it's a civil service so why is it paid for with tax dollars #Iran #Student #JeffBezos  #paranormal  #inflation  #loan #BTC #hiphop #india #Ukraine #Russia #poverty  #NickiMinaj","N","","","","",""
"","Regarding the calibre of the Western volunteers, a U.S. Army veteran stated: “Some were professional soldiers and are still competent. Others are DRUNKS, people with the most marginal military experience, and people who really should not have come at all.” #Ukraine","A","","","","",""
"","A circulating video shows the transfer of additional ZRK Patriot batteries from #Germany to #Slovakia to strengthen the eastern flank of #NATO.
#Russia #Ukraine #Russia_Ukraine #RussianUkrainianWar #RussianUkraineWar #RussiaUkraine #UkraineRussianWar #UkraineRussia https://t.co/yZsmFlvfbQ","N","","","","",""
"","A #Russian attack drone seen here hitting #Ukrainian targets with precision missiles. There is no date and place indicated, but as the Russian defense ministry published the video yesterday, it must have been a few days ago.

#Ukraine #UkraineRussia #RussiaUkraineCrisis https://t.co/fG8GeZsb0V","N","","","","",""
"","If #ukraine is run by Nazis, how did they have an election in 2019 where Volodymyr Zelenskyy, a Jew, won 30% of the vote in round 1, and Ruslan Koshulynskyi, a Neo-nazi, won 1%? #RussiaUkraineWar","N","","","","",""
"","03/19/22 #Ukraine #Russia @DOD @thejointstaff @SecDef @US_EUCOM @ODNIgov @WHNSC @US_Stratcom @SecBlinken: Russian attack on Ukrainian base in Mykolaiv kills dozens.--Reuters @CIA","N","","","","",""
"","#Russia #Ukraine conflict: Putin’s invasion ‘stalled’ as civilian casualties grow https://t.co/yQ02UMaZWS https://t.co/JvvEmSHLPr","N","","","","",""
"","Sunday 1633 European time, the #Iranian New Year begins.
Winter ends with all its darkness and spring begins with all its beauties.
At the start of the new year, I pray for #FreeIran2022  and peace in #Ukraine.
Join me in these prayers. 
Happy #Nowruz https://t.co/3Zjzb5elBc","H","NS","","","",""
"","We're #live &amp; the #stream will stay up 24/7 on Twitch until the invasion in #Ukraine ends. (11PM in #Kyiv, Ukraine &amp; 12AM in #Moscow #Russia) CURRENT CAMS [#BROVARY #KIEV #LVIV #KHARKIV #ODESSA #ZAPORIZHYA] https://t.co/1qALlAkwsJ","N","","","","",""
"","Nice project @Mari23233902 @Yasser87689028 @Helmy03067024 #sugarland #sugarlandcoin #Ukraine https://t.co/bPlLz9HuLo","N","","","","",""
"","#HockeyOps explains video review of Evander Kane’s goal at 17:48 of the second period in the @NJDevils / @EdmontonOilers game. https://t.co/dtZdsqbRhD","N","","","","",""
"","Had a very good paper review experience lately since the link in the confirmation email took me directly to the page to submit recommendation w/o the need to login. 

Maintaining the logins of various paper sub systems is killing me.","H","","","","",""
"","@nft_md @TheMoonCarl Appreciate your review, are you having difficulties in trading due to bad signals or trading methods() I n b o x. @. T e l e g r a m.  https://t.co/MIPyaqZAHU","N","","","","",""
"","REVIEW:  @Belgianhandball had a night to remember as they booked their place at the 2023 @ihf_info Men's World Championship. #POLSWE2023

Read more about Saturday's matches in our review. ⬇️

https://t.co/HSv7axwORI","N","","","","",""
"","@michelleo2112 @Wyleeheim @Lucky_Ikot @JOSEPHOSITA12 Of course it has bcus of the year in review it was released na I said dis before","N","","","","",""
"","@itsgfreviews Really great video! I didn't even notice it was a boyfriend review before playing it, so I even got surprised by Matt's voice lol","H","","","","",""
